Date,LeafingOut,Blooming,BudsBursting,Fall,Spring,Summer,Winter,LeafOut,NewFlowers,NewlyFlowering,NewLeaves
2009-04-01,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0.454545454545,0,0.166666666667,0,0,0,0,0.457142857143,0.206896551724,0,0.25
2009-04-02,0.0909090909091,0,0,0,0,0,0,0.142857142857,0.137931034483,0,0.285714285714
2009-04-03,0,0,0,0,0,0,0,0.171428571429,0.275862068966,0,0.357142857143
2009-04-04,0.181818181818,0,0,0.00629921259843,0,0,0,0.228571428571,0.379310344828,0,0.285714285714
2009-04-05,0,0,0,0.00629921259843,0,0,0,0.171428571429,0.51724137931,0,0.25
2009-04-06,0,0,0,0.00157480314961,0,0,0,0.285714285714,0.275862068966,0,0.214285714286
2009-04-07,0.363636363636,0,0.166666666667,0.00629921259843,1,0,0,0.342857142857,0.413793103448,0,0.142857142857
2009-04-08,0.272727272727,0,0,0.0110236220472,0.91156462585,0,0,0.371428571429,0.310344827586,0,0.107142857143
2009-04-09,0.0909090909091,0,0.166666666667,0.00472440944882,0.802721088435,0,0,0.314285714286,0.206896551724,1,0.178571428571
2009-04-10,0.0909090909091,0,0,0.00472440944882,0.709750566893,0,0,0.228571428571,0.448275862069,0,0.0714285714286
2009-04-11,0.0909090909091,0,0,0.00314960629921,0.469387755102,0,0,0.171428571429,0.241379310345,0,0.214285714286
2009-04-12,0.0909090909091,0,0,0,0.258503401361,0,0,0.142857142857,0.48275862069,0,0.214285714286
2009-04-13,0,0,0,0.00472440944882,0.47619047619,0,0,0.314285714286,0.413793103448,0,0.142857142857
2009-04-14,0.0909090909091,0,0,0.00629921259843,0.603174603175,0,0,0.485714285714,0.620689655172,0,0.214285714286
2009-04-15,0.181818181818,0,0.166666666667,0.00944881889764,0.571428571429,0,0,0.257142857143,0.344827586207,0,0.428571428571
2009-04-16,0.181818181818,0,0,0.00944881889764,0.585034013605,0,0,0.257142857143,0.379310344828,0,0.321428571429
2009-04-17,0.818181818182,0,0.166666666667,0.0125984251969,0.678004535147,0,0,0.371428571429,0.310344827586,0,0.321428571429
2009-04-18,0.545454545455,0,0,0.00157480314961,0.514739229025,0,0.0226757369615,0.228571428571,0.896551724138,0,0.321428571429
2009-04-19,0.363636363636,0,0,0.00629921259843,0.310657596372,0,0.0204081632653,0.314285714286,0.758620689655,0,0.25
2009-04-20,0,0,0,0.0157480314961,0.455782312925,0,0.0408163265306,0.342857142857,0.620689655172,0,0.357142857143
2009-04-21,0.272727272727,0,0,0.00314960629921,0.526077097506,0,0.0566893424036,0.542857142857,0.862068965517,0,0.464285714286
2009-04-22,0.363636363636,0,0.166666666667,0.00629921259843,0.408163265306,0,0.0181405895692,0.4,0.758620689655,0,0.392857142857
2009-04-23,0.363636363636,0,0.166666666667,0.00472440944882,0.378684807256,0,0.0385487528345,0.142857142857,0.758620689655,0,0.357142857143
2009-04-24,0.363636363636,0,0,0.00314960629921,0.487528344671,0.0671140939597,0.0294784580499,0.314285714286,0.551724137931,0,0.428571428571
2009-04-25,0.181818181818,0,0.333333333333,0.00157480314961,0.374149659864,0.236241610738,0.0340136054422,0.485714285714,0.965517241379,0,0.25
2009-04-26,0.0909090909091,0.322429906542,0.166666666667,0.00472440944882,0.269841269841,0.187919463087,0.0657596371882,0.457142857143,1,0,0.392857142857
2009-04-27,0.727272727273,0.841121495327,0,0.00787401574803,0.401360544218,0.236241610738,0.0544217687075,0.285714285714,0.827586206897,1,0.5
